ISIN,ISIN Description
INE0NNR01010,4S SYNERGIES PRIVATE LIMITED
INE09ME01017,50 HERTZ LIMITED
IN8618L01017,5PAISA CAPITAL LIMITED
INE618L01018,5PAISA CAPITAL LIMITED
INE111B01023,63 MOONS TECHNOLOGIES LIMITED
IN8111B01014,63 MOONS TECHNOLOGIES LIMITED
INE188W01019,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03015,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03023,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03031,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03049,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03056,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03064,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03072,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03080,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03098,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03106,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03114,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03122,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03130,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03148,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03155,63IDEAS INFOLABS PRIVATE LIMITED
INE188W03163,63IDEAS INFOLABS PRIVATE LIMITED
INE0IFG01019,6IPAIN HEALTHCARE PVT LTD
INE0M6N01014,7 STAR EMPIRE LIMITED
INE0D5Z01011,7 STEPS CONSULTORES PRIVATE LIMITED
INE0HPP01011,7-INDIA CONVENIENCE RETAIL LIMITED
INE0HPP08016,7-INDIA CONVENIENCE RETAIL LIMITED
IN8413X01026,7NR RETAIL LIMITED
INE413X01027,7NR RETAIL LIMITED
INE454F01010,7SEAS ENTERTAINMENT LIMITED
IN8454F01019,7SEAS ENTERTAINMENT LIMITED
INE0JHC01012,88ACADEMICS (INDIA) PRIVATE LIMITED
INE0JHC03018,88ACADEMICS (INDIA) PRIVATE LIMITED
INE0GGS01016,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03012,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03020,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03038,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03046,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03053,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03061,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03079,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03087,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03095,99 ALGORITHMS PRIVATE LIMITED
INE0GGS03103,99 ALGORITHMS PRIVATE LIMITED
INE174T01015,9X MEDIA PRIVATE LIMITED
INE0DHA01019,A & D INTERNATIONAL PRIVATE LIMITED
IN8319X01017,A & M FEBCON LIMITED
INE319X01018,A & M FEBCON LIMITED
INE542S01015,A A ESTATES PVT LTD
INE749Y01014,A AND M JUMBO BAGS LIMITED
INE749Y04018,A AND M JUMBO BAGS LIMITED
IN8749Y01013,A AND M JUMBO BAGS LIMITED
IN808PH01016,A B COTSPIN INDIA LIMITED
INE08PH01015,A B COTSPIN INDIA LIMITED
IN800YB01018,A B INFRABUILD LIMITED
INE00YB01017,A B INFRABUILD LIMITED
INE06JL01014,A B MOTIONS PRIVATE LIMITED
INE982R01015,A B N INTERCORP LIMITED
IN8982R01014,A B N INTERCORP LIMITED
INE0FPS01019,A B SUGARS LIMITED
INE02PG01010,A B T LIMITED
INE02PG07157,A B T LIMITED
INE02PG07165,A B T LIMITED
INE02PG07173,A B T LIMITED
INE02PG07181,A B T LIMITED
INE02PG07199,A B T LIMITED
INE02PG07207,A B T LIMITED
INE02PG07215,A B T LIMITED
INE02PG07223,A B T LIMITED
INE02PG07231,A B T LIMITED
INE02PG07249,A B T LIMITED
INE02PG07256,A B T LIMITED
INE02PG07264,A B T LIMITED
INE02PG07272,A B T LIMITED
INE02PG07280,A B T LIMITED
INE02PG07298,A B T LIMITED
INE02PG07306,A B T LIMITED
INE02PG07314,A B T LIMITED
INE02PG07322,A B T LIMITED
INE02PG07330,A B T LIMITED
INE02PG07348,A B T LIMITED
INE02PG07355,A B T LIMITED
INE02PG07363,A B T LIMITED
INE02PG07371,A B T LIMITED
INE02PG07389,A B T LIMITED
INE02PG07397,A B T LIMITED
INE02PG07405,A B T LIMITED
INE02PG07439,A B T LIMITED
INE02PG07454,A B T LIMITED
INE0JGK01017,A D S I.T. SOLUTIONS INDIA LIMITED
INE063901016,A G SUPERSTRUCTURES PRIVATE LIMITED
INE063901024,A G SUPERSTRUCTURES PRIVATE LIMITED
INE063901032,A G SUPERSTRUCTURES PRIVATE LIMITED
INE0KA201011,A G T ELECTRONICS LIMITED
INE0O6N01012,A G UNIVERSAL LIMITED
INE534E01020,A INFRASTRUCTURE LIMITED
INE534E04016,A INFRASTRUCTURE LIMITED
INE534E04024,A INFRASTRUCTURE LIMITED
INE534E04032,A INFRASTRUCTURE LIMITED
INE534E04040,A INFRASTRUCTURE LIMITED
IN8534E01011,A INFRASTRUCTURE LIMITED
IN8534E01029,A INFRASTRUCTURE LIMITED
INE0G0101017,A J CAPITAL LIMITED
INE0LF001019,A J ENTERPRISES LTD
INE0HTK01014,A J PACKAGING LIMITED
INE701G01012,A K CAPITAL SERVICES LIMITED
IN8701G01011,A K CAPITAL SERVICES LIMITED
INE06FY01015,A K LUMBERS LIMITED
INE06WB01018,A K POWER INDUSTRIES PRIVATE LIMITED
INE04G601018,A L W ESTATE PRIVATE LTD
INE246I01014,A LITTLE WORLD PRIVATE LIMITED
INE0IZZ01017,A N GLOBAL LIMITED
INE786Z01013,A N GREENS PRIVATE LIMITED
INE08QC01014,A O V EXPORTS PRIVATE LIMITED
INE796V01011,A ONE TILES PRIVATE LIMITED
INE094101016,A P PROPERTIES PRIVATE LIMITED
INE581U01019,A P REALTECH PRIVATE LIMITED
INE04BB01017,A P SECURITAS PRIVATE LIMITED
INE684L01010,A POWER HIMALAYAS LIMITED
INE0DXO01025,A R AMBOLI DEVELOPERS PRIVATE LIMITED
INE0CUG01011,A R G SYSTEMS LIMITED
INE09MY01015,A S K CARRIERS LTD
INE274U01011,A S MOLOOBHOY PRIVATE LIMITED
INE564M01012,A S REALBUILD PRIVATE LIMITED
INE141J01015,A S REALCON PRIVATE LIMITED
INE610I01011,A S REALTECH PRIVATE LIMITED
INE01XR01013,A T INVOFIN INDIA PRIVATE LIMITED
