ISIN,ISIN Description,,ISIN,ISIN Description
INE0E6D01015,3DIMENSION CAPITAL SERVICES LTD,,INE0SJN01016,TAPSTART CAPITAL PRIVATE LIMITED
INE0LMB01010,3E ADVISORS PRIVATE LIMITED,,INE0TFW01013,VIDIP REALTORS PRIVATE LIMITED
INE03CP01017,3EYE VENTURES PRIVATE LIMITED,,INE0TG301014,GFB GREAT FOODS PRIVATE LIMITED
INE03RA01017,3I INFOTECH CONSULTANCY SERVICES LIMITED,,INE110O14BX3,AXIS SECURITIES LIMITED
INE725O01015,3I INFOTECH DIGITAL BPS LIMITED,,INE391V07125,SHREM INFRA INVEST PRIVATE LIMITED
INE748C01038,3I INFOTECH LIMITED,,IN8369Q01016,GANESHA ECOVERSE LIMITED
IN8748C01011,3I INFOTECH LIMITED,,INE0BG307110,SUNGLOW FININVEST PRIVATE LIMITED
IN8748C01029,3I INFOTECH LIMITED,,INE0R4S07028,MEGHA HOLDINGS PRIVATE LIMITED
INE01NK01019,3M ELECTRO AND COMMUNICATION INDIA PRIVATE LIMITED,,INE642Y01029,HINDCON CHEMICALS LIMITED
IN8470A01016,3M INDIA LIMITED,,INE891K14MS3,AXIS FINANCE LIMITED
INE470A01017,3M INDIA LIMITED,,INE0IID07405,PRACHAY CAPITAL PRIVATE LIMITED
INE0PAC01014,3N HEALTH FOODS PRIVATE LIMITED,,INE0RM703072,ENPARADIGM PERFORMANCE SOLUTIONS PRIVATE LIMITED
IN8105C01014,3P LAND HOLDINGS LIMITED,,INE0SJY04058,ASERA MINING PRIVATE LIMITED
INE105C01023,3P LAND HOLDINGS LIMITED,,INE0TKX01011,LIOTECH INDUSTRIES PRIVATE LIMITED
IN8768P01011,3RD ROCK MULTIMEDIA LIMITED,,INE0U1T01012,CHETANA EDUCATION LIMITED
INE768P01012,3RD ROCK MULTIMEDIA LIMITED,,INE0U3Q01014,EKAM CONSTRUCTORS PRIVATE LIMITED
INE0KAB01017,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE0U3V01014,SETHWALA FOODS LIMITED
INE0KAB03013,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE0U3Y01018,HNV CASTINGS PRIVATE LIMITED
INE0KAB03021,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE0U4201012,DREAMHOME INFRASTRUCTURE PRIVATE LIMITED
INE0KAB03039,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE0U4F01015,TVC SHARES STOCK INVESTMENT PRIVATE LIMITED
INE0KAB03047,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE0U5501014,VIVASVAT REVOLUTIONS LIMITED
INE0KAB03054,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE295G03011,GMR VEMAGIRI POWER GENERATION LIMITED
INE0KAB03062,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE296A14XM6,BAJAJ FINANCE LIMITED
INE0KAB03070,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE403Q07EH8,KOSAMATTAM FINANCE LIMITED
INE0KAB03088,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE489L14363,IIFL SECURITIES LIMITED
INE0KAB03096,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE896L14DL4,INDOSTAR CAPITAL FINANCE LIMITED
INE0KAB03104,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE916DA7SQ2,KOTAK MAHINDRA PRIME LIMITED
INE0KAB03112,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INF204KC1CW4,NIPPON INDIA MUTUAL FUND
INE0KAB03120,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,IN80D7801011,MRP AGRO LIMITED
INE0KAB03138,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,IN90JOO01011,VARANIUM CLOUD LIMITED
INE0KAB03146,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE01CY076H6,ICL FINCORP LIMITED
IN90KAB01015,3RDFLIX VISUAL EFFECTS PRIVATE LIMITED,,INE01CY076I4,ICL FINCORP LIMITED
INE0JKB01018,4A FINANCIAL TECHNOLOGIES PRIVATE LIMITED,,INE05W204010,AKK ENTERTAINMENT LIMITED
INE0IB001018,4D INDIATEQ LIMITED,,INE0Q0K03254,ROPPEN TRANSPORTATION SERVICES PRIVATE LIMITED
INE287Y01015,4PEL DISTRIBUTED SOLAR POWER PRIVATE LIMITED,,INE0Q0K03262,ROPPEN TRANSPORTATION SERVICES PRIVATE LIMITED
INE471Y01015,4PEL ENERGY SERVICES PRIVATE LIMITED,,INE0RAJ01015,RUNGTA CARRIERS LTD
INE0CVZ01019,4PEL GREEN POWER PRIVATE LIMITED,,INE163K14135,PHOENIX ARC PRIVATE LIMITED
INE0CW001019,4PEL GREEN SOLUTIONS PRIVATE LIMITED,,INE00D707028,FOUNDING YEARS LEARNING SOLUTIONS PRIVATE LIMITED
INE908Y01016,4PEL SAUR VIDYUT PRIVATE LIMITED,,INE01WI07060,INCRED CAPITAL FINANCIAL SERVICES PRIVATE LIMITED
INE00SK01010,4PEL SOLAR DAYLIGHT ENERGY PRIVATE LIMITED,,INE0QDF08022,FPEL UJWAL PRIVATE LIMITED
INE00SK03016,4PEL SOLAR DAYLIGHT ENERGY PRIVATE LIMITED,,INE672F03013,FIRST OVERSEAS CAPITAL LIMITED
INE610R01012,4PEL SOLAR ENERGY PRIVATE LIMITED,,INF0QY122061,EDELWEISS INFRASTRUCTURE YIELD PLUS
INE00SL01018,4PEL SOLAR SUN FLAME PRIVATE LIMITED,,INF0QY122087,EDELWEISS INFRASTRUCTURE YIELD PLUS
INE07Z901016,4PEL SUN ABILITY PRIVATE LIMITED,,INF0QZT22018,ISAF III
INE0AY001019,4PEL SUN FLASH PRIVATE LIMITED,,INF0RS322PS5,LV ANGEL FUND
INE0A4M01015,4PEL SURYA MITRA PRIVATE LIMITED,,INF0RS322PT3,LV ANGEL FUND
INE01KD01010,4PEL SURYA PRAKASH PRIVATE LIMITED,,INF0RS322QU9,LV ANGEL FUND
INE0NNR01010,4S SYNERGIES PRIVATE LIMITED,,INF0RS322QX3,LV ANGEL FUND
INE09ME01017,50 HERTZ LIMITED,,INF0RS322RB7,LV ANGEL FUND
IN8618L01017,5PAISA CAPITAL LIMITED,,INF0RS322RJ0,LV ANGEL FUND
INE618L01018,5PAISA CAPITAL LIMITED,,INF0RS322RO0,LV ANGEL FUND
INE111B01023,63 MOONS TECHNOLOGIES LIMITED,,INF0RS322RP7,LV ANGEL FUND
IN8111B01014,63 MOONS TECHNOLOGIES LIMITED,,INF0RS322RR3,LV ANGEL FUND
INE188W01019,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322SK6,LV ANGEL FUND
INE188W03015,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322SS9,LV ANGEL FUND
INE188W03023,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322TB3,LV ANGEL FUND
INE188W03031,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322TI8,LV ANGEL FUND
INE188W03049,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322UT3,LV ANGEL FUND
INE188W03056,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322UW7,LV ANGEL FUND
INE188W03064,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322WP7,LV ANGEL FUND
INE188W03072,63IDEAS INFOLABS PRIVATE LIMITED,,INF0RS322WR3,LV ANGEL FUND
INE188W03080,63IDEAS INFOLABS PRIVATE LIMITED,,INF0SU822019,MALABAR INVESTMENT TRUST
INE188W03098,63IDEAS INFOLABS PRIVATE LIMITED,,INF200KB1019,SBI MUTUAL FUND
INE188W03106,63IDEAS INFOLABS PRIVATE LIMITED,,INF200KB1035,SBI MUTUAL FUND
INE188W03114,63IDEAS INFOLABS PRIVATE LIMITED,,INF740K01OL9,DSP MUTUAL FUND
INE188W03122,63IDEAS INFOLABS PRIVATE LIMITED,,INF740K01OM7,DSP MUTUAL FUND
INE188W03130,63IDEAS INFOLABS PRIVATE LIMITED,,IN80QFT01014,AIK PIPES AND POLYMERS LIMITED
INE188W03148,63IDEAS INFOLABS PRIVATE LIMITED,,INE0S8715029,PEGASUS 11 2023
INE188W03155,63IDEAS INFOLABS PRIVATE LIMITED,,INE0SSD01018,LUMAN INDUSTRIES LIMITED
INE188W03163,63IDEAS INFOLABS PRIVATE LIMITED,,INE0T0101010,TAI-PAN CONSTRUCTIONS PRIVATE LIMITED
INE0IFG01019,6IPAIN HEALTHCARE PVT LTD,,INE0T0A01017,PCBL (TN) LIMITED
INE0M6N01014,7 STAR EMPIRE LIMITED,,INE0T0E01019,ADWIK BIO ENERG-E PRIVATE LIMITED
INE0D5Z01011,7 STEPS CONSULTORES PRIVATE LIMITED,,INE0T0I01010,V.K.SEEDS GROWING PRIVATE LIMITED
INE0HPP01011,7-INDIA CONVENIENCE RETAIL LIMITED,,INE0T0R01011,SHIVAI KRISHNA ROPEWAYS PRIVATE LIMITED
INE0HPP08016,7-INDIA CONVENIENCE RETAIL LIMITED,,INF0R9J22220,JM FINANCIAL INDIA GROWTH TRUST III
IN8413X01026,7NR RETAIL LIMITED,,INF0RLC22DS8,TATA ALTERNATIVE INVESTMENT FUND
INE413X01027,7NR RETAIL LIMITED,,INF0RS322NN1,LV ANGEL FUND
INE454F01010,7SEAS ENTERTAINMENT LIMITED,,INF0RS322NW2,LV ANGEL FUND
IN8454F01019,7SEAS ENTERTAINMENT LIMITED,,INF0RS322OO7,LV ANGEL FUND
INE0JHC01012,88ACADEMICS (INDIA) PRIVATE LIMITED,,INF0RS322PA3,LV ANGEL FUND
INE0JHC03018,88ACADEMICS (INDIA) PRIVATE LIMITED,,INF0RS322PF2,LV ANGEL FUND
INE0GGS01016,99 ALGORITHMS PRIVATE LIMITED,,INF0RS322PG0,LV ANGEL FUND
INE0GGS03012,99 ALGORITHMS PRIVATE LIMITED,,INE538O08017,UDUPI TOLLWAY PRIVATE LIMITED
INE0GGS03020,99 ALGORITHMS PRIVATE LIMITED,,INE700G14IG7,HDFC SECURITIES LIMITED
INE0GGS03038,99 ALGORITHMS PRIVATE LIMITED,,INE700G14IH5,HDFC SECURITIES LIMITED
INE0GGS03046,99 ALGORITHMS PRIVATE LIMITED,,INE704I14IE0,BARCLAYS INVESTMENTS & LOANS (INDIA) PRIVATE LIMITED
INE0GGS03053,99 ALGORITHMS PRIVATE LIMITED,,INE732I14735,ANGEL ONE LIMITED
INE0GGS03061,99 ALGORITHMS PRIVATE LIMITED,,INE898A01019,PAR COMPUTER SCIENCES (INTERNATIONAL) LTD
INE0GGS03079,99 ALGORITHMS PRIVATE LIMITED,,INF0R8F01042,ZERODHA MUTUAL FUND
INE0GGS03087,99 ALGORITHMS PRIVATE LIMITED,,INE0QQF01011,OBGENIX SOFTWARE PRIVATE LIMITED
INE0GGS03095,99 ALGORITHMS PRIVATE LIMITED,,INE0QQN01015,LOYAL CREDIT & INVESTMENTS LTD
INE0GGS03103,99 ALGORITHMS PRIVATE LIMITED,,INE0NCE03173,INDIEJEWEL FASHIONS PRIVATE LIMITED
INE174T01015,9X MEDIA PRIVATE LIMITED,,INE0NGT03024,NEO INVESTMENT VALUE ADVISORS PRIVATE LIMITED
INE0DHA01019,A & D INTERNATIONAL PRIVATE LIMITED,,INE571B01036,JAY BHARAT MARUTI LIMITED
IN8319X01017,A & M FEBCON LIMITED,,INE583D14295,UGRO CAPITAL LIMITED
INE319X01018,A & M FEBCON LIMITED,,INE918K07NQ0,NUVAMA WEALTH FINANCE LIMITED
