,,,,,,,,
,,,,,,,,
,,,, Assessment Year 2025-26,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Sl.No,Schedule Name,Schedules for filing Income Tax Return,"Description
Click on applicable links to navigate to the respective sheet / schedule.",Select applicable sheets below by choosing Y/N and Click on Apply,Select sheets to print 
,,,48,SH-1 AND SH-2,Schedule SH1 and SH2,SHAREHOLDING OF UNLISTED COMPANY (other than a start-up for which Schedule SH-2 is to be filled up),Y,Y
,,,49,AL-1,Schedule AL-1,Assets and liabilities as at the end of the year (mandatorily required to be filled by an unlisted company) (other than a start-up for which Schedule AL-2 is to be filled up),Y,Y
,,,50,AL-2,Schedule AL-2,Assets and liabilities as at the end of the year (applicable for start-ups only),Y,Y
,,,51,DI,Schedule DI,Details of Direct Investments ,N,N
,,,52,GST,Schedule GST,Break-up of total expenditure with entities registered or not registered under the GST,Y,Y
,,,53,FD,Schedule FD,Break-up of payments/receipts in Foreign currency ,Y,Y
,,,54,PARTB - TI - TTI,"PartB-TI, PartB-TTI & Verification",Computation of Total Income & Tax Liability on total income,Y,Y
,,,55,IT,15A,Details of payments of Advance Tax and Self-Assessment Tax,Y,Y
,,,56,TDS,"15B, 15C",Details of Tax Deducted at Source & Tax Collected at Source,Y,Y
,,,57,80GGC,Schedule 80GGC,Details of contributions made to political parties,Y,Y
,,,58,80IAC,Schedule 80IAC,Deduction in respect of eligible start-up,Y,Y
,,,59,80LA,Schedule 80LA,Deduction in respect of offshore banking unit or IFSC,Y,Y
,,,60,Schedule 115TD,115TD,Accreted income under section 115TD,Y,Y
,,,61,Verification,Schedule Verification,Schedule Verification,Y,Y
,,,,,,,,
,,,Instructions,,,,,
,,,1. Green cells are for data entry,,,,,
,,,2. Red labels indicate mandatory fields,,,,,
,,,3. Do not use CTRL X or cut paste while data entry,,,,,
